Step #7050.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 346 ACT 126 BUF 0)               
Step #7100.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 347 ACT 124 BUF 0)               
Step #7150.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 350 ACT 125 BUF 0)               
Step #7200.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 355 ACT 129 BUF 0)               
Step #7250.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 356 ACT 128 BUF 0)               
Step #7300.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 358 ACT 129 BUF 0)               
Step #7350.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 361 ACT 128 BUF 0)               
Step #7400.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 363 ACT 128 BUF 0)               
Step #7450.00 (0ms ?*RT. ?UPS, TraCI: 51ms, vehicles TOT 365 ACT 127 BUF 0)               
Step #7500.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 367 ACT 126 BUF 0)               
Step #7550.00 (1ms ~= 500.00*RT, ~127000.00UPS, TraCI: 56ms, vehicles TOT 372 ACT 127 BUF 
Step #7600.00 (1ms ~= 500.00*RT, ~131000.00UPS, TraCI: 57ms, vehicles TOT 378 ACT 131 BUF 
Step #7650.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 379 ACT 131 BUF 0)               
Step #7700.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 381 ACT 128 BUF 0)               
Step #7750.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 384 ACT 125 BUF 0)               
Step #7800.00 (1ms ~= 500.00*RT, ~126000.00UPS, TraCI: 56ms, vehicles TOT 387 ACT 126 BUF 
Step #7850.00 (0ms ?*RT. ?UPS, TraCI: 55ms, vehicles TOT 388 ACT 124 BUF 0)               
Step #7900.00 (1ms ~= 500.00*RT, ~126000.00UPS, TraCI: 52ms, vehicles TOT 392 ACT 126 BUF 
Step #7950.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 396 ACT 129 BUF 0)               
Step #8000.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 398 ACT 129 BUF 0)               
Step #8050.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 404 ACT 133 BUF 0)               
Step #8100.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 406 ACT 133 BUF 0)               
Step #8150.00 (1ms ~= 500.00*RT, ~136000.00UPS, TraCI: 59ms, vehicles TOT 412 ACT 136 BUF 
Step #8200.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 416 ACT 137 BUF 0)               
Step #8250.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 419 ACT 135 BUF 0)               
Step #8300.00 (1ms ~= 500.00*RT, ~134000.00UPS, TraCI: 60ms, vehicles TOT 421 ACT 134 BUF 
Step #8350.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 424 ACT 133 BUF 0)               
Step #8400.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 426 ACT 130 BUF 0)               
Step #8450.00 (1ms ~= 500.00*RT, ~134000.00UPS, TraCI: 58ms, vehicles TOT 432 ACT 134 BUF 
Step #8500.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 436 ACT 135 BUF 0)               
Step #8550.00 (0ms ?*RT. ?UPS, TraCI: 60ms, vehicles TOT 436 ACT 133 BUF 0)               
Step #8600.00 (1ms ~= 500.00*RT, ~131000.00UPS, TraCI: 59ms, vehicles TOT 436 ACT 131 BUF 
Step #8650.00 (1ms ~= 500.00*RT, ~135000.00UPS, TraCI: 56ms, vehicles TOT 441 ACT 135 BUF 
Step #8700.00 (0ms ?*RT. ?UPS, TraCI: 61ms, vehicles TOT 443 ACT 136 BUF 0)               
Step #8750.00 (0ms ?*RT. ?UPS, TraCI: 58ms, vehicles TOT 444 ACT 134 BUF 0)               
Step #8800.00 (0ms ?*RT. ?UPS, TraCI: 61ms, vehicles TOT 448 ACT 136 BUF 0)               
Step #8850.00 (1ms ~= 500.00*RT, ~137000.00UPS, TraCI: 59ms, vehicles TOT 453 ACT 137 BUF 
Step #8900.00 (0ms ?*RT. ?UPS, TraCI: 57ms, vehicles TOT 457 ACT 140 BUF 0)               
Step #8950.00 (1ms ~= 500.00*RT, ~137000.00UPS, TraCI: 61ms, vehicles TOT 459 ACT 137 BUF 
Step #9000.00 (0ms ?*RT. ?UPS, TraCI: 62ms, vehicles TOT 461 ACT 137 BUF 0)               
Step #9050.00 (0ms ?*RT. ?UPS, TraCI: 53ms, vehicles TOT 462 ACT 136 BUF 0)               
Step #9100.00 (0ms ?*RT. ?UPS, TraCI: 61ms, vehicles TOT 464 ACT 134 BUF 0)               
Step #9150.00 (1ms ~= 500.00*RT, ~135000.00UPS, TraCI: 60ms, vehicles TOT 469 ACT 135 BUF 
Step #9200.00 (1ms ~= 500.00*RT, ~133000.00UPS, TraCI: 59ms, vehicles TOT 471 ACT 133 BUF 
Step #9250.00 (0ms ?*RT. ?UPS, TraCI: 59ms, vehicles TOT 472 ACT 131 BUF 0)               
Step #9300.00 (1ms ~= 500.00*RT, ~135000.00UPS, TraCI: 60ms, vehicles TOT 477 ACT 135 BUF 
